"id","分類","機能名","概要","入力","出力","利用者"
"fun-001","閲覧","言語別トレンド一覧表示","トップページまたは言語選択に基づき、対象言語のトレンドランキング（トップ100）を一覧で表示する。","選択言語（デフォルト: 全言語）","リポジトリのランキング一覧データ（最大100件）","エンジニア"
"fun-002","閲覧","ランキングリポジトリ情報の取得","トレンド一覧表示に必要なリポジトリ名、スター数、フォーク数、概要などの基本情報をデータストアから取得する。","リポジトリIDリスト","リポジトリ基本情報（名前、スター、フォーク、概要）","エンジニア"
"fun-003","閲覧","リポジトリ基本情報のリスト表示","ランキングリストの各項目に、リポジトリ名、概要、スター総数、フォーク総数を表示する。","リポジトリ基本情報データ","整形されたリストビュー","エンジニア"
"fun-004","メトリクス","7日間スター増加数の表示","トレンド一覧の各リポジトリについて、事前計算された過去7日間のスター増加数を表示する。","リポジトリID","7日間スター増加数","テックリード"
"fun-005","メトリクス","30日間スター増加数の表示","トレンド一覧の各リポジトリについて、事前計算された過去30日間のスター増加数を表示する。","リポジトリID","30日間スター増加数","テックリード"
"fun-006","フィルタリング","言語選択UI提供","TypeScript、Pythonなど、定義された言語リストからユーザーがフィルタリング対象の言語を選択できるUIを提供する。","言語リスト","言語選択ドロップダウン/タブ","エンジニア"
"fun-007","フィルタリング","言語フィルタリングの適用","選択された言語に基づき、表示されるトレンドランキングを絞り込む。","選択言語","フィルタリングされたランキングデータ","エンジニア"
"fun-008","ソート","7日間増加率/数によるソート実行","一覧表示データを、過去7日間のスター増加率または増加数に基づきソートする。","ソート基準（7日間増加率/数）","ソート済みランキングデータ","テックリード"
"fun-009","ソート","30日間増加率/数によるソート実行","一覧表示データを、過去30日間のスター増加率または増加数に基づきソートする。","ソート基準（30日間増加率/数）","ソート済みランキングデータ","テックリード"
"fun-010","ソート","スター総数によるソート実行","一覧表示データを、現在のスター総数に基づき降順にソートする。","ソート基準（スター総数）","ソート済みランキングデータ","エンジニア"
"fun-011","詳細閲覧","リポジトリ詳細ページへの遷移","ランキングまたは検索結果から特定のリポジトリの詳細ページURLを生成し、遷移させる。","リポジトリID","リポジトリ詳細ページ","エンジニア"
"fun-012","可視化","過去90日間のスター推移データ取得","指定されたリポジトリについて、過去90日間の日次スター数スナップショットデータを取得する。","リポジトリID","90日間のスター数時系列データ","テックリード"
"fun-013","可視化","スター推移グラフの描画","取得した過去90日間のスター数推移データを折れ線グラフとして詳細ページに描画する。","90日間のスター数時系列データ","折れ線グラフ","テックリード"
"fun-014","情報提供","データスナップショット日時表示","画面上部（またはフッター）に、表示されているデータがGitHubから取得された最終日時（UTC 0:00）を明記する。","最終データ取得日時","日時文字列","ブロガー"
"fun-015","検索","リポジトリ名検索入力フォームの提供","ユーザーがリポジトリ名を入力できる検索UI（インプットボックス）を提供する。","なし","検索入力UI","エンジニア"
"fun-016","検索","リポジトリ名検索実行","入力されたクエリに基づき、リポジトリ名（フルネームまたは部分一致）をデータストアから検索する。","検索クエリ文字列","合致するリポジトリIDリスト","エンジニア"
"fun-017","検索","検索結果一覧の表示","検索クエリに合致したリポジトリを一覧形式で表示する。","合致リポジトリリスト","検索結果一覧ページ","エンジニア"
"fun-018","週別分析","週別トレンドランキングページ表示","週別トレンドランキングを閲覧するための専用ページを表示し、最新週のデータをデフォルトで表示する。","週/年情報（オプション）","週別トレンドランキングページ","ブロガー"
"fun-019","週別分析","指定された週のランキングデータ取得","過去の任意の週（ISO週番号）が選択された際、その週のスター増加数に基づくトップ10ランキングデータを取得する。","年、週番号、言語","週別トップ10ランキングデータ","ブロガー"
"fun-020","週別分析","週別ランキングの言語フィルタリング適用","週別トレンドランキングにおいても、言語フィルタリングを適用し、表示を絞り込む。","選択言語","言語フィルタリングされた週別ランキングデータ","ブロガー"
"fun-021","週別分析","利用可能な過去週リスト取得","データが存在する過去の週（年とISO週番号）の一覧をDBから取得する。","言語（オプション）","年/週番号のリスト","エンジニア"
"fun-022","週別分析","期間選択ナビゲーションUIの提供","利用可能な週リストに基づき、ユーザーが過去の週を容易に選択できるナビゲーション（カレンダーやプルダウン）を提供する。","利用可能な週リスト","期間選択UI","エンジニア"
"fun-023","データ処理","GitHub APIからのリポジトリ情報取得","日次バッチ処理として、追跡対象の全リポジトリの最新スター数、フォーク数、基本情報をGitHub APIから取得する。","リポジトリ名リスト","GitHub APIレスポンスデータ","技術選定者"
"fun-024","データ処理","日次スナップショットデータのDB保存","GitHub APIから取得した最新のスター数などのスナップショットデータを、日付タグを付けてDB（repo_snapshots）に保存する。","GitHub APIレスポンスデータ","DB保存成功ログ","技術選定者"
"fun-025","データ処理","週別トレンド集計ロジックの実行","週の変わり目（月曜未明）に、過去7日間のスナップショットデータに基づき、週単位のスター増加数を計算する。","過去7日間のスナップショットデータ","週別ランキング計算結果","技術選定者"
"fun-026","データ処理","週別集計結果のDB保存","計算した週別トレンドランキング（トップ10）の結果を、週番号、言語と関連付けて専用テーブルに保存する。","週別ランキング計算結果","DB保存成功ログ","技術選定者"
"fun-027","データ処理","7日間/30日間スター増加数/率の計算ロジック実行","日次バッチまたは計算バッチとして、過去7日間および30日間のスター増加数と増加率をリポジトリごとに計算する。","スナップショットデータ","計算済みメトリクス","技術選定者"
