"id","分類","要件名","概要","利用者"
"req-001","閲覧","言語別トレンドランキング表示","選択された言語に基づき、最新のトレンドランキング（トップ100）を一覧表示できる。","エンジニア"
"req-002","閲覧","リポジトリ基本情報の表示","ランキングリストに、リポジトリ名、スター数、フォーク数、概要などの基本情報を表示する。","エンジニア"
"req-003","メトリクス","7日間スター増加数の表示","トレンド一覧において、過去7日間のスター増加数をリポジトリごとに表示する。","テックリード"
"req-004","メトリクス","30日間スター増加数の表示","トレンド一覧において、過去30日間のスター増加数をリポジトリごとに表示する（β版）。","テックリード"
"req-005","フィルタリング","言語フィルタリング機能","表示言語をTypeScript、Pythonなど、定義された言語リストから選択して絞り込むことができる。","エンジニア"
"req-006","ソート","7日間増加率/数によるソート","リストを、過去7日間のスター増加率または増加数に基づきソートし、急成長中のプロジェクトを発見できる。","テックリード"
"req-007","ソート","30日間増加率/数によるソート","リストを、過去30日間のスター増加率または増加数に基づきソートできる（β版）。","テックリード"
"req-008","ソート","スター総数によるソート","リストを、現在のスター総数に基づき降順にソートできる。","エンジニア"
"req-009","詳細閲覧","リポジトリ詳細ページの表示","ランキングまたは検索結果から特定のリポジトリの詳細ページに遷移できる。","エンジニア"
"req-010","可視化","過去90日間のスター推移グラフ表示","リポジトリ詳細ページに、過去90日間のスター数の日次推移を折れ線グラフで表示し、成長傾向を視覚化できる。","テックリード"
"req-011","情報提供","データ取得日時の明示","画面上部に、表示されているデータがGitHubから取得された最終日時（スナップショット日時）を明記する。","ブロガー"
"req-012","検索","リポジトリ名検索機能","リポジトリ名（フルネームまたは部分一致）による検索機能を提供する（β版）。","エンジニア"
"req-013","検索","検索結果の一覧表示","検索クエリに合致したリポジトリを一覧表示し、詳細ページへ遷移できるようにする。","エンジニア"
"req-014","週別分析","週別トレンドランキングの閲覧","過去の任意の週（ISO週番号）を選択し、その週のスター増加数に基づくトップ10ランキングを閲覧できる。","ブロガー"
"req-015","週別分析","週別ランキングの言語フィルタリング","週別トレンドランキングにおいても、言語フィルタリングを適用できる。","ブロガー"
"req-016","週別分析","期間選択ナビゲーション","データが存在する過去の週を容易に選択できるナビゲーションを提供する。","エンジニア"
"req-017","データ処理","日次データ収集バッチ","毎日UTC 0:00にGitHub APIからターゲットリポジトリの最新スナップショットを取得・保存する。","技術選定者"
"req-018","データ処理","週別トレンド集計バッチ","週の変わり目に、週単位のスター増加数を計算し、週別トレンドランキングを事前計算・保存する。","技術選定者"
"req-019","データ処理","増加率の事前計算","スナップショットデータに基づき、7日間および30日間のスター増加数/増加率を計算し、DBに保存する。","技術選定者"
"req-020","UX/非機能","レスポンシブ対応","スマートフォン、タブレット、PCの各デバイス幅に対応し、レイアウトが崩れないようにする。","エンジニア"
"req-021","パフォーマンス","LCP目標達成","トレンド一覧ページのLCP（Largest Contentful Paint）を2秒以内に収めるように最適化する。","技術選定者"
"req-022","認証","GitHub OAuth認証","ユーザーがGitHubアカウントを通じて本サービスにログインできるようにする（Phase 3）。","エンジニア"
"req-023","認証","ログイン状態の保持","ログイン後、セッション管理により一定期間はログイン状態を保持し、再ログインを不要とする。","エンジニア"
"req-024","課金/権限","課金状態の管理","ユーザーの課金プラン（無料/Pro/クレジット残高）を管理し、AI機能などへのアクセス可否を判定する。","技術選定者"
"req-025","AI機能","AI要約閲覧（課金ユーザー）","課金ユーザーは、生成済みのリポジトリAI要約（スライド形式の構造化サマリー）の全文を閲覧できる。","テックリード"
"req-026","AI機能","AI要約プレビュー（無料ユーザー）","無料ユーザーは、AI要約の概要（プレビュー）として最初の1ページのみを閲覧できる。","エンジニア"
"req-027","AI機能","オンデマンド生成要求","課金ユーザーは、要約が未生成のリポジトリに対して、クレジットまたは月間制限内で即時生成を要求できる。","テックリード"
"req-028","AI機能","AI要約バッチ生成","週別トップ10など、注目のリポジトリのAI要約を定期的に自動生成するバッチ処理を実行する。","技術選定者"
"req-029","UX/拡張","言語別ブックマーク機能の誘導","利用者が頻繁に利用する言語フィルタを簡単に保存・再訪できるように誘導するUIを設ける。","エンジニア"
"req-030","UX/可視化","グラフデータのツールチップ表示","スター推移グラフ上において、マウスオーバー時に特定日の正確なスター数と増加数を表示する。","エンジニア"
"req-031","拡張","お気に入り機能（ローカル保存）","ログイン状態にかかわらず、ブラウザのローカルストレージを利用して気になるリポジトリをお気に入り登録できる（Phase 2）。","エンジニア"
"req-032","情報提供","リポジトリトピックスの表示","リポジトリに設定されたトピックス（GitHubのタグ）を詳細ページに表示する。","エンジニア"
"req-033","課金/拡張","決済システムとの連携","Stripeと連携し、サブスクリプションまたはクレジット購入の決済フローを提供する（Phase 3）。","技術選定者"
"req-034","セキュリティ","APIレート制限","外部からの過剰なアクセスを防ぐため、公開APIエンドポイントに対してレート制限（100リクエスト/分/IP）を設ける。","技術選定者"
