"id","分類","非機能名","概要"
"non-001","パフォーマンス","LCP目標達成","トレンド一覧ページのLCP（Largest Contentful Paint）を2秒以内に収めるように最適化する。"
"non-002","パフォーマンス","API応答速度","主要なAPIエンドポイントの応答時間（P95）を200ms以内に維持する。"
"non-003","パフォーマンス","同時接続許容数","システムが100ユーザーの同時接続に安定して対応できること。"
"non-004","可用性","稼働率目標","サービスの稼働率を99%以上とする（月間ダウンタイム7時間以内）。"
"non-005","可用性","復旧時間目標(RTO)","重大な障害発生時、4時間以内にサービスを復旧させること。"
"non-006","可用性","データ損失許容(RPO)","データ損失を最大24時間分に許容する（日次バックアップによる）。"
"non-007","セキュリティ","通信暗号化","すべてのユーザー通信においてHTTPSを利用し、暗号化を必須とする。"
"non-008","セキュリティ","APIレート制限","外部からの過剰なアクセスを防ぐため、公開APIエンドポイントに対してレート制限（100リクエスト/分/IP）を設ける。"
"non-009","セキュリティ","SQLインジェクション対策","Drizzle ORMを利用し、パラメータ化されたクエリによってSQLインジェクションを防ぐ。"
"non-010","セキュリティ","入力データ検証","すべてのAPI入力に対し、Zodなどのライブラリを用いてスキーマ検証を実施する。"
"non-011","スケーラビリティ","データ量拡張性","リポジトリデータ量が5,000件（現状の10倍）まで増加しても、主要機能のパフォーマンスを維持できる設計であること。"
"non-012","スケーラビリティ","言語フィルタリング拡張性","対象言語数が30言語に増加しても、トレンドランキング機能が機能すること。"
"non-013","スケーラビリティ","履歴データ保持期間","リポジトリの履歴データ保持期間を90日から365日に拡張できる設計であること。"
"non-014","ユーザビリティ","レスポンシブデザイン","スマートフォン、タブレット、PCの各デバイス幅に対応し、レイアウトが崩れないようにする。"
"non-015","運用・データ","データ更新頻度","データの更新は日次バッチ（UTC 0:00）で行い、リアルタイム性は求めないことを前提とする。"
"non-016","可用性","AI機能の独立性","AI要約機能（付加価値モジュール）はコア機能から分離し、AI機能の障害がトレンド閲覧機能の可用性を損なわないこと。"
