"id","分類","画面名","概要","構成要素","操作手順","利用者"
"scr-001","閲覧/一覧","トレンド一覧画面 (日次)","GitHubリポジトリの言語別日次トレンドランキング（Top 100）を表示するメインページ。7日間/30日間の増加数や増加率でソート・フィルタリングが可能。","ヘッダー（データスナップショット日時 fun-014）、言語選択UI (fun-006)、検索入力フォーム (fun-015)、ソート基準選択UI (fun-008/009/010)、リポジトリリスト（fun-003, 7日/30日増加数 fun-004/005）、ページネーション (fun-053)、レスポンシブUI (fun-029)。","言語を選択してフィルタリング (fun-007)。7日間/30日間の増加数または増加率でソートを実行。リポジトリを選択して詳細へ遷移 (fun-011)。リポジトリ名を検索窓に入力 (fun-016)。ページ切り替え (fun-053)。","エンジニア, 技術ブロガー"
"scr-002","閲覧/詳細","リポジトリ詳細画面","特定のリポジトリの基本情報（概要、スター、フォーク、トピックス）と、過去90日間のスター推移をグラフで表示する。AI要約機能への導線も提供する。","リポジトリ基本情報、トピックス情報 (fun-048)、過去90日間のスター推移グラフ (fun-013)、グラフツールチップ (fun-045)、AI要約閲覧/生成ボタン、お気に入り登録ボタン (fun-047)。","グラフにマウスオーバーし詳細データを確認 (fun-045)。AI要約閲覧ボタンをクリックし、要約画面に遷移/モーダル表示。お気に入り登録/解除 (fun-047)。","エンジニア, 技術選定者"
"scr-003","週別分析","週別トレンドランキング画面","過去の週単位で集計されたスター増加数に基づくランキングを表示する。期間選択UIにより過去のトレンドの追跡を可能にする。","週選択ナビゲーションUI (fun-022)、利用可能な過去週リスト (fun-021)、言語フィルタUI (fun-020)、週別ランキングリスト、データスナップショット日時表示 (fun-014)。","期間選択ナビゲーションを用いて過去の週を選択。言語フィルタを適用 (fun-020)。リポジトリを選択して詳細へ遷移 (fun-011)。","ブロガー, エンジニア"
"scr-004","検索","検索結果一覧画面","リポジトリ名検索 (fun-016) の実行結果を一覧表示する。","検索クエリ表示、合致リポジトリリスト (fun-017)、ページネーション。","リストからリポジトリを選択し詳細へ遷移 (fun-011)。","エンジニア"
"scr-005","AI機能","AI要約全文スライドビュー","課金ユーザーに対して、AIが生成したリポジトリの構造化要約の全文をスライド形式で表示する。","スライドビューコンテナ (fun-036)、要約コンテンツ (fun-035)、目次、ページナビゲーション。","ページを切り替えて要約を閲覧。目次から特定セクションへジャンプ。","課金エンジニア, 技術選定者"
"scr-006","AI機能","AI要約プレビュー/アップグレード誘導画面","無料ユーザー向けにAI要約のプレビューを表示し、全文閲覧のために課金プランへの誘導を行う。","AI要約プレビューコンテンツ (fun-037)、全文非表示マスク、アップグレード誘導メッセージ (fun-038)、課金プランへのリンク。","プレビューを閲覧。誘導メッセージから課金プラン選択画面へ遷移。","無料エンジニア"
"scr-007","AI機能","AI要約オンデマンド生成要求画面","課金ユーザーが未生成のリポジトリに対してAI要約生成を要求する際のインターフェース。クレジット/制限確認を行う。","生成要求ボタン (fun-039)、クレジット残高/制限表示 (fun-040)、生成ステータス通知 (fun-054)。","生成要求ボタンをクリック。クレジット/制限を確認し (fun-040)、生成を開始する (fun-039)。生成完了通知を待つ (fun-054)。","課金エンジニア"
"scr-008","課金/認証","課金プラン選択画面","ユーザーが課金モデル（サブスクリプションまたはクレジット制）を選択し、Stripe決済に遷移する。","プラン選択UI、料金比較表、決済へ進むボタン。","希望のプランを選択。決済へ進むボタンをクリックし、Stripe Checkoutセッションを生成する (fun-049)。","ユーザー"
"scr-009","課金/認証","決済結果画面","Stripe決済後のリダイレクト先。決済の成功または失敗をユーザーに通知し、アプリケーションに戻る導線を提供する。","決済ステータス（成功/失敗）メッセージ、メイン画面への戻るボタン。","決済結果を確認し、メイン画面へ遷移する。","ユーザー"
"scr-010","拡張/閲覧","お気に入り一覧画面","ブラウザのローカルストレージに保存された、ユーザーのお気に入りリポジトリの一覧を表示する。","お気に入りリポジトリリスト (fun-047)、リストからのリポジトリ情報（スター数、概要など）。","リストからリポジトリを選択し詳細へ遷移 (fun-011)。お気に入りの解除。","エンジニア"
"scr-011","認証","ログイン画面/ナビゲーション","GitHub OAuth認証を開始するためのボタンを提供する。","ログインボタン（GitHub連携）。","ログインボタンをクリックし、GitHub OAuth認証フローへリダイレクトする (fun-030)。","ユーザー"
